Model,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price
 TOYOTA Corolla 1.6 16V VVT I 3DR TERRA 2/3-Doors,30,67660,Petrol,110,1,0,1600,3,1105,15950
TOYOTA Corolla 1.6 16V VVT I 3DR SOL AUT4 2/3-Doors,29,43905,Petrol,110,0,1,1600,3,1170,16950
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,56349,Petrol,110,1,0,1600,3,1120,15950
 TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,32220,Petrol,110,1,0,1600,3,1120,16950
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,29,25813,Petrol,110,1,0,1600,3,1120,16250
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,25,28450,Petrol,110,1,0,1600,3,1120,15950
 TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,27,34545,Petrol,110,1,0,1600,3,1120,17495
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,29,41415,Petrol,110,1,0,1600,3,1120,15750
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,44142,Petrol,110,0,0,1600,3,1120,16950
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,30,11090,Petrol,110,1,0,1600,3,1120,17950
 TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,29,9750,Petrol,97,1,0,1400,3,1100,12950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,35199,Petrol,97,1,0,1400,3,1100,15750
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,27,29510,Petrol,97,1,0,1400,3,1100,15950
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,26,32692,Petrol,97,1,0,1400,3,1100,14950
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,41000,Petrol,97,1,0,1400,3,1100,15500
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,26,43000,Petrol,97,0,0,1400,3,1100,15750
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,25,25000,Petrol,97,0,0,1400,3,1100,15950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,23,10000,Petrol,97,1,0,1400,3,1100,14950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,32,25329,Petrol,97,1,0,1400,3,1100,15750
 TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,27,27500,Petrol,97,0,0,1400,3,1100,14750
 TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,22,49059,Petrol,97,0,0,1400,3,1100,13950
TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,27,44068,Petrol,97,1,0,1400,3,1100,16750
TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,22,46961,Petrol,97,0,0,1400,3,1100,13950
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,27,110404,Diesel,90,0,0,2000,5,1255,16950
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,100250,Diesel,90,0,0,2000,5,1255,16950
 TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,23,84000,Diesel,90,0,0,2000,5,1270,19000
TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,27,79375,Diesel,90,1,0,2000,5,1255,17950
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,75048,Petrol,97,1,0,1400,5,1110,15800
 TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,72215,Diesel,90,1,0,2000,5,1255,17950
TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,31,64982,Petrol,192,1,0,1800,5,1195,21950
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,22,62636,Diesel,90,1,0,2000,5,1255,17950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,57086,Petrol,97,1,0,1400,5,1110,15750
TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,26,56000,Petrol,110,1,1,1600,5,1180,20500
TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,27,49866,Petrol,192,1,0,1800,5,1195,21950
 TOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,25,49163,Petrol,110,0,1,1600,5,1165,15500
 TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,32,45725,Petrol,110,1,0,1600,5,1075,13250
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,43210,Petrol,97,0,0,1400,5,1110,15250
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,26,43000,Petrol,97,0,0,1400,5,1110,15250
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,23,39704,Petrol,110,1,1,1600,5,1180,18950
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,38950,Petrol,110,1,0,1600,5,1130,15999
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,37400,Petrol,97,1,0,1400,5,1110,14950
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,27,37177,Petrol,110,0,0,1600,5,1130,16500
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,36544,Petrol,110,1,0,1600,5,1130,18750
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,30,33511,Petrol,110,1,0,1600,5,1130,17950
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,27,32809,Petrol,97,1,0,1400,5,1110,17950
TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,26,32181,Petrol,110,1,0,1600,5,1075,16950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,30993,Petrol,110,1,0,1600,5,1130,18950
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,22,30400,Petrol,97,1,0,1400,5,1110,14950
TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22,30000,Diesel,110,1,0,2000,5,1275,22250
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,25,29719,Petrol,97,1,0,1400,5,1110,15950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,28,29206,Petrol,97,1,0,1400,5,1110,15950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,32,29198,Petrol,97,1,0,1400,5,1060,12995
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,28817,Petrol,110,1,0,1598,5,1130,18950
 TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,23,28227,Petrol,97,1,0,1400,5,1110,15750
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,28000,Petrol,110,0,0,1600,5,1130,19950
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,23,28000,Petrol,110,1,0,1600,5,1115,16950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,31,25266,Petrol,110,1,0,1600,5,1130,18750
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,27,23489,Petrol,110,0,0,1600,5,1115,18450
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,22575,Petrol,110,1,0,1600,5,1115,16895
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,30,22000,Petrol,97,1,0,1400,5,1110,14900
TOYOTA Corolla 1.6 5drs 1 4/5-Doors,25,20019,Petrol,110,1,1,1600,5,1180,18950
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,29,20000,Petrol,110,1,0,1600,5,1115,17250
 TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,25,17003,Petrol,97,1,0,1400,5,1110,15450
TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,31,16238,Petrol,110,1,1,1600,5,1180,17950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,25,15414,Petrol,97,1,0,1400,5,1110,16650
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,28,8537,Petrol,110,1,0,1600,5,1130,17450
 TOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,30,7000,Petrol,97,1,0,1400,5,1100,14900
TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,20,66966,Diesel,90,1,0,2000,3,1245,17950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,51884,Petrol,97,1,0,1400,3,1100,15950
TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,19,50005,Diesel,110,1,0,2000,3,1265,21950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,48110,Petrol,97,1,0,1400,3,1100,16450
 TOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,20,37500,Diesel,90,1,0,2000,3,1260,22250
TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,16,34472,Diesel,90,1,0,1995,3,1260,19950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,33329,Petrol,97,1,0,1400,3,1100,15950
TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,20,31850,Petrol,110,0,0,1600,3,1120,18900
TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,17,30351,Diesel,90,1,0,1995,3,1260,19950
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,29435,Petrol,97,1,0,1400,3,1100,15950
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,25948,Petrol,97,1,0,1400,3,1100,15950
TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,11,24500,Petrol,110,1,0,1600,3,1120,18750
TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,18,23902,Petrol,97,1,0,1400,3,1100,17450
 TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,20,23175,Petrol,110,1,0,1600,3,1120,18990
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,19200,Petrol,97,1,0,1400,3,1100,16250
TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,13,18000,Petrol,71,0,0,1400,3,1125,18500
TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,11,16123,Petrol,110,1,0,1600,3,1105,18500
TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMF AUT 2/3-Doors,11,14635,Petrol,110,1,1,1600,3,1155,19450
 TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,19,13748,Petrol,97,1,0,1400,3,1100,16950
 TOYOTA Corolla 1.6 VVT-i Linea Terra Comfort 2/3-Doors,14,11500,Petrol,110,1,0,1600,3,1045,18800
TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,17,10000,Petrol,97,1,0,1400,3,1100,17450
 TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,20,7187,Petrol,110,1,0,1600,3,1105,17950
 TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,4,1,Diesel,116,0,0,2000,5,1480,32500
TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,4,4000,Diesel,116,1,0,2000,5,1480,31000
TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,4,1500,Diesel,116,1,0,2000,5,1480,31275
 TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,8,13253,Diesel,116,1,0,2000,5,1320,24950
TOYOTA Corolla VERSO 2.0 D4D LINEA SOL MPV,8,13253,Diesel,116,1,0,2000,5,1320,24950
TOYOTA Corolla 2.0 D4D 116 5DR LUNA 4/5-Doors,7,10000,Diesel,116,1,0,2000,5,1270,22950
TOYOTA Corolla 2.0 D4D 90 WAGON SOL Stationwagen,8,6000,Diesel,90,1,0,2000,5,1280,24990
 TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,8,10841,Diesel,90,1,0,2000,5,1270,21950
TOYOTA Corolla 1.6 16V VVT I 3DR TERRA COMFORT 2/3-Doors,7,1,Petrol,110,1,0,1600,3,1105,17900
TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,20,63000,Diesel,90,1,0,2000,5,1255,19250
TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,17,57313,Diesel,110,1,0,2000,5,1275,22250
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,13,57037,Petrol,110,0,0,1600,5,1115,18950
 TOYOTA Corolla 2.0 D4D Linea Terra Comfort 4/5-Doors,19,51099,Diesel,90,1,0,2000,5,1255,19950
 TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,14,40010,Petrol,110,1,0,1600,5,1115,16350
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,20,39115,Petrol,110,1,0,1600,5,1130,18950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17,36012,Petrol,110,0,0,1600,5,1130,16950
TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,16,36000,Petrol,110,1,0,1600,5,1130,21750
TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,20,36000,Petrol,110,1,0,1600,5,1075,15950
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,35000,Petrol,97,1,0,1400,5,1110,16500
TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,17,33740,Petrol,97,1,0,1400,5,1135,17950
TOYOTA Corolla 1.6 vvt-i nw model comfort airco 5drs 4/5-Doors,13,33477,Petrol,110,1,0,1600,5,1075,15850
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,32627,Petrol,97,1,0,1400,5,1110,16250
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,29797,Petrol,97,1,0,1400,5,1110,15950
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19,29441,Petrol,97,1,0,1400,5,1110,16250
TOYOTA Corolla 1 6-16v VVT-i Linea Terra Comfort Airco 5drs 4/5-Doors,13,29371,Petrol,110,1,0,1600,4,1105,15950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,29000,Petrol,97,0,0,1400,5,1110,16500
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,19,27821,Petrol,97,0,0,1400,5,1110,16500
TOYOTA Corolla 1.4 16V VVT I 5DR SOL 4/5-Doors,19,27371,Petrol,97,0,0,1400,5,1135,18450
 TOYOTA Corolla 1.6 terra comfort 5drs airco 4/5-Doors,13,25170,Petrol,110,1,0,1600,5,1105,16250
TOYOTA Corolla Luna 5drs D4D116 PK 4/5-Doors,11,25000,Diesel,116,1,0,2000,5,1320,23000
TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,20,23000,Petrol,110,1,0,1600,5,1130,19900
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,22588,Petrol,97,1,0,1400,5,1110,16450
 TOYOTA Corolla 1.8 VVTL-i T-Sport 3-Drs 4/5-Doors,19,21684,Petrol,192,1,0,1800,5,1185,23950
 TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,13,21428,Petrol,110,1,0,1600,5,1130,19950
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,16,20629,Petrol,110,1,0,1600,4,1090,18500
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15,20270,Petrol,110,1,0,1600,5,1130,18950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16,20105,Petrol,97,0,0,1400,5,1110,16450
 TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMF AUT 4/5-Doors,20,20000,Petrol,110,0,1,1600,5,1165,20500
TOYOTA Corolla 1.6 16V VVT I 5DR EXEC BNS 4/5-Doors,13,19988,Petrol,110,1,0,1600,5,1130,24500
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19,18328,Petrol,110,0,0,1600,5,1130,19450
TOYOTA Corolla 1.6 16V VVT I SEDAN SOL AUT4 4/5-Doors,14,17896,Petrol,110,1,1,1600,4,1150,20950
 TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,20,17300,Petrol,97,1,0,1400,5,1110,17200
TOYOTA Corolla 1.6 16V VVT I 5DR SOL BNS 4/5-Doors,19,17038,Petrol,110,0,0,1600,5,1130,19950
TOYOTA Corolla 1.4 16V VVT I 5DR LUNA BNS 4/5-Doors,10,13747,Petrol,97,1,0,1400,5,1110,18450
 TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,12,13634,Petrol,110,1,0,1600,5,1115,19500
TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,13,13178,Petrol,110,1,0,1600,5,1130,21750
TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,15,13157,Petrol,97,1,0,1400,4,1085,16868
TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,16,13000,Petrol,110,1,0,1600,4,1105,19500
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,11,12500,Petrol,110,1,0,1600,5,1115,18900
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17,11999,Petrol,110,1,0,1600,5,1130,19750
TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,16,11754,Petrol,110,0,1,1600,5,1180,19750
TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,16,11000,Petrol,110,1,0,1600,4,1105,18950
 TOYOTA Corolla 1.6 16v VVTi Linea Sol 4/5-Doors,17,10000,Petrol,110,0,0,1598,5,1105,20750
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,9,7650,Petrol,110,1,0,1600,5,1115,19600
TOYOTA Corolla 1.6 16v VVTi Terra Comfort 4/5-Doors,14,6500,Petrol,110,1,0,1600,4,1100,19500
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,11,6155,Petrol,97,1,0,1400,5,1110,17650
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,14,6000,Petrol,110,0,0,1600,5,1130,19950
TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,14,5459,Petrol,110,1,0,1600,5,1130,19950
TOYOTA Corolla 1.6 16V VVT I SEDAN SOL BNS AUT4 4/5-Doors,14,5278,Petrol,110,1,1,1600,4,1150,20950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,12,5000,Petrol,110,1,0,1600,5,1130,20500
TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,9,1,Petrol,98,1,0,1400,4,1065,17795
TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,9,1,Petrol,110,1,0,1600,5,1075,18245
TOYOTA Corolla 1.6-16v VVT-i Executive B.edition 4/5-Doors,8,11000,Petrol,110,1,0,1600,5,1130,23750
TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,8,10077,Petrol,97,1,0,1400,5,1110,19500
 TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,8,10000,Petrol,97,1,0,1400,5,1110,18950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,9788,Petrol,110,1,0,1600,5,1130,21950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,8574,Petrol,110,1,0,1600,5,1130,19950
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,8,7000,Petrol,110,0,0,1600,5,1115,18950
TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,7,6250,Petrol,110,1,0,1600,5,1115,19950
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,8,5000,Petrol,110,1,0,1600,5,1130,21950
TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,6,3000,Petrol,110,0,0,1600,5,1130,22500
TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,7,2000,Petrol,110,0,0,1600,5,1075,18500
TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,7,450,Petrol,97,1,0,1400,5,1110,18700
TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,2,225,Petrol,97,1,0,1400,5,1110,21125
TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,2,15,Petrol,110,1,0,1600,5,1130,21500
 TOYOTA Corolla 1.4-16v VVT-i Linea Terra Comfort NIEUW AIRCO 4/5-Doors,1,1,Petrol,98,1,0,1400,4,1100,17795
TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,1,1,Petrol,110,1,0,1600,5,1075,18245
TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,43,243000,Diesel,69,0,0,1900,3,1110,6950
TOYOTA Corolla 2.0 D4D SEDAN SOL 4/5-Doors,38,180638,Diesel,90,0,0,2000,4,1160,9500
TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,179860,Diesel,90,1,0,2000,5,1205,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,178858,CNG,110,0,0,1600,3,1084,7750
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,40,161000,Diesel,69,1,0,1900,3,1105,11950
TOYOTA Corolla 1.8D Stationwagen,44,158320,Diesel,69,0,0,1800,5,1110,4350
TOYOTA Corolla 1.8D 4/5-Doors,44,131273,Diesel,69,1,0,1800,5,1110,4750
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,40,130062,Diesel,69,1,0,1900,5,1140,11750
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,41,123425,Diesel,69,1,0,1900,5,1140,13250
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,37,118217,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.9 D Sedan 4/5-Doors,44,110000,Diesel,69,1,0,1900,5,1095,11900
TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,39,108847,Diesel,90,1,0,2000,5,1205,14750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,105699,Petrol,97,1,0,1400,3,1025,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,39,98823,CNG,110,1,0,1600,5,1119,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,44,96829,Petrol,110,1,0,1600,5,1075,11495
TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,40,96518,Petrol,97,1,0,1400,3,1025,11250
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,92204,Petrol,110,1,0,1600,5,1075,10500
TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,35,91456,Diesel,69,1,0,1900,3,1110,10450
TOYOTA Corolla 19D LB Linea Terra 4/5-Doors,43,89968,Diesel,69,1,0,1900,5,1140,12950
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,44,89757,Petrol,110,1,0,1600,3,1045,11500
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,85389,Petrol,110,1,0,1600,5,1075,12500
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,43,85017,Petrol,97,0,0,1400,5,1060,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,41,84312,Petrol,110,0,0,1600,5,1080,11450
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,37,82743,CNG,110,1,0,1600,5,1121,11950
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,41,81106,Diesel,69,1,0,1900,5,1140,13250
